Activities,Activities_granular
Household chores,Do the laundry
Personal activity,Take a bath
Exercise,Exercise
Household chores,Wash the car
Personal activity,Get dressed
Personal activity,Take pictures
Personal activity,Play the guitar
Household chores,Water the plant
Exercise,Go for a walk
Work,Work
Personal activity,Have breakfast
Personal activity,Have lunch
Personal activity,Have dinner
Personal activity,Make dinner
Personal activity,Feed the dog
Personal activity,Take a break
Personal activity,Walk the dog
Household chores,Take out the trash
Household chores,Sweep the floor
Personal activity,Read the news
Household chores,Cut the grass
Household chores,Do the dishes
Household chores,Paint the house
Work,Declutter Your Desktop
Work,Schedule Your Day
Personal activity,Online learning
Personal activity,Play cards or other games
Personal activity,Watch a movie
Personal activity,Order takeout
Personal activity,Live with friends
Personal activity,Read a book
Personal activity,Volunteer time online
Exercise,Run
Exercise,Jump
Exercise,Yoga
Exercise,Pilates
Exercise,Hike
Exercise,Weight lift
Exercise,Jogging
Exercise,Dancing
Exercise,Swimming
Exercise,Biking
Exercise,Climbing stairs or hills
Exercise,Outdoor walk
Personal activity,prepare breakfast
Personal activity,prepare lunch
Personal activity,Watch out kids
Personal activity,order grocery
Personal activity,Pick up groceries
Household chores,Fold the cloths
Household chores,arrange them in the closet
Personal activity,chat with friends
Personal activity,petting the dog
Personal activity,play with kids
Exercise,Stretching exercise
Work,Vitual/in-person Meeting
Work,Answering emails
Work,Commuting to work
